user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,3136.733333333333,3467.681818181818,6,4,0,0,18,16,7,0,0,3,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1965.85,1268.5,8,2,0,0,5,1,5,2,3,0,1
23,24.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,24,4,0,0,0,0,1
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1789.0625,1970.75,7,3,0,0,3,3,3,4,2,1,1
126,25.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,3033.233333333333,3608.818181818182,8,2,0,0,15,19,4,3,2,1,1
149,23.0,1,3,3,2,0,1,1,2,0,0,2,0,0,3,3,1,0,2,0,6,1,0,0,0,3094.086956521739,3421.6206896551726,4,6,0,0,16,18,3,4,1,2,1
153,30.0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,6,0,1,2,4,0,4,8,0,0,4500.0,4500.0,0,0,0,0,20,8,0,0,0,0,1
198,28.0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,9,19,0,0,0,0,1
207,22.0,1,3,3,2,2,1,2,2,0,1,7,2,3,9,13,1,10,20,12,5,3,9,1,0,4500.0,0.0,0,0,0,0,28,0,0,0,0,0,3
228,34.0,0,1,0,1,0,1,2,1,0,0,3,1,0,0,0,0,2,3,1,0,0,0,0,0,2826.0789473684213,4500.0,10,0,0,0,20,14,7,0,3,0,1
233,26.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,3018.735294117647,3764.1111111111113,7,3,0,0,21,13,5,2,3,0,1
340,27.0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,0,4500.0,4500.0,0,0,0,0,12,16,0,0,0,0,1
356,24.0,1,0,3,2,0,0,0,1,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,3053.3333333333335,3518.04,5,5,0,0,14,20,5,2,1,2,1
403,20.0,0,3,2,0,0,1,0,0,0,0,4,2,2,0,3,0,7,16,5,1,0,2,0,0,1930.2631578947369,1543.2,10,0,0,0,4,2,5,2,2,1,1
406,23.0,0,3,3,2,2,1,2,2,0,1,11,11,11,18,22,35,13,44,98,67,37,27,6,9,1900.0434782608695,690.0,10,0,0,0,6,0,6,1,3,0,2
427,21.0,1,1,3,0,0,1,1,1,0,0,5,2,3,9,8,1,4,9,11,3,3,5,1,0,0.0,4500.0,0,0,0,0,0,1,0,0,0,0,3
614,24.0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,3,4,10,11,4,3,3,0,0,4500.0,4500.0,0,0,0,0,12,16,0,0,0,0,1
626,55.0,0,2,2,1,2,1,2,1,0,1,7,3,2,15,11,3,7,19,11,11,8,12,2,0,3201.8571428571427,4500.0,10,0,0,0,31,3,7,0,3,0,3
777,27.0,1,3,3,1,2,1,2,2,0,0,3,2,2,3,3,0,6,6,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,15,13,0,0,0,0,1
788,26.0,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,15,13,0,0,0,0,1
802,34.0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,5,7,1,0,0,0,0,2980.5833333333335,3530.6071428571427,5,5,0,0,12,22,5,2,0,3,1
843,26.0,1,2,3,0,2,1,2,1,0,0,6,1,0,4,0,1,8,22,20,3,6,9,0,0,1875.695652173913,1250.0,10,0,0,0,5,1,7,0,2,1,3
866,25.0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1936.9411764705883,1637.5714285714287,7,3,0,0,4,2,6,1,1,2,1
1033,50.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,4,0,1,0,0,0,1,1838.8095238095239,1925.3333333333333,10,0,0,0,5,1,6,1,3,0,1
1319,30.0,0,2,3,0,0,0,2,0,0,0,2,5,4,3,4,6,4,9,15,11,10,14,0,1,3083.775,3920.0,9,1,0,0,24,10,5,2,3,0,3
1398,24.0,0,3,3,2,2,1,2,2,0,0,4,2,0,7,5,1,4,7,7,3,1,2,0,0,1900.0434782608695,690.0,10,0,0,0,6,0,6,1,3,0,1
1487,26.0,0,1,1,1,0,1,1,0,0,0,8,4,5,10,10,4,4,6,3,3,3,5,0,0,4500.0,4500.0,0,0,0,0,21,7,0,0,0,0,3
1519,26.0,0,1,1,0,0,0,1,0,0,0,2,2,0,1,0,0,4,1,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,11,17,0,0,0,0,1
1525,24.0,1,3,3,0,1,0,1,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,9,19,0,0,0,0,1
1676,30.0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1657.1818181818182,2012.4615384615386,4,6,0,0,2,4,2,5,2,1,1
1892,21.0,0,2,2,1,0,1,0,0,0,0,4,1,2,7,6,1,3,10,10,5,7,12,0,0,4500.0,4500.0,0,0,0,0,23,5,0,0,0,0,3
1938,24.0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,4,1,0,0,0,0,0,1536.2727272727273,2114.769230769231,4,6,0,0,3,3,3,4,1,2,1
2037,38.0,1,3,2,1,2,0,2,0,0,0,0,8,5,7,12,10,0,9,16,3,2,2,0,0,4500.0,4500.0,0,0,0,0,16,12,0,0,0,0,3
2145,19.0,0,3,3,2,0,0,0,1,0,0,3,2,2,4,6,1,4,15,3,3,2,6,0,0,4500.0,4500.0,0,0,0,0,18,10,0,0,0,0,1
2347,28.0,0,3,3,1,1,1,2,2,0,1,9,4,3,13,10,10,10,31,22,17,12,12,2,0,4500.0,4500.0,0,0,0,0,11,17,0,0,0,0,3
2383,20.0,1,3,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,0,0,4500.0,4500.0,0,0,0,0,17,11,0,0,0,0,1
2463,27.0,0,1,0,0,0,0,1,0,0,0,1,1,2,2,3,0,4,6,2,1,1,0,0,0,4500.0,4500.0,0,0,0,0,12,16,0,0,0,0,1
2493,17.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,4500.0,4500.0,0,0,0,0,6,22,0,0,0,0,1
2498,28.0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,13,15,0,0,0,0,1
2501,28.0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,3,4,1,0,1,0,0,0,1900.0434782608695,690.0,10,0,0,0,6,0,6,1,3,0,1
2593,31.0,0,2,3,1,1,1,2,1,0,0,0,0,0,1,4,0,6,23,20,17,15,15,3,1,3215.1304347826085,3325.6206896551726,6,4,0,0,15,19,3,4,1,2,3
2594,24.0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.625,0.0,10,0,0,0,6,0,7,0,3,0,1
2826,52.0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,6,0,1,3,3,0,0,2,0,0,4500.0,4500.0,0,0,0,0,22,6,0,0,0,0,1
2932,17.0,1,3,1,2,1,1,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,16,12,0,0,0,0,1
2973,29.0,0,1,1,2,2,0,1,0,0,0,3,0,0,0,0,1,2,3,0,0,0,0,0,0,1382.6363636363637,2244.769230769231,4,6,0,0,2,4,3,4,2,1,1
3034,28.0,1,1,1,0,0,1,1,0,0,0,2,2,4,6,6,1,7,15,7,3,4,9,0,0,4500.0,4500.0,0,0,0,0,27,1,0,0,0,0,3
3166,19.0,1,3,1,0,2,0,0,0,0,0,3,1,0,1,0,0,0,3,1,1,0,0,0,0,3007.153846153846,3546.346153846154,7,3,0,0,17,17,4,3,3,0,1
3206,29.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,10,18,0,0,0,0,1
3215,38.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,16,11,0,0,0,0,1
3255,24.0,1,1,1,1,0,1,0,0,0,0,3,2,2,4,6,2,5,11,5,2,1,1,0,0,2939.4242424242425,3862.6315789473683,8,2,0,0,20,14,3,4,3,0,1
3261,21.0,0,1,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,3192.8518518518517,3367.36,7,3,0,0,17,17,2,5,2,1,1
3372,23.0,0,2,2,0,0,1,1,1,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1783.7222222222222,2047.3333333333333,7,3,0,0,4,2,5,2,3,0,1
3394,25.0,0,3,3,2,2,1,2,2,0,1,6,7,6,10,13,7,13,44,98,67,37,27,6,9,1849.625,0.0,10,0,0,0,6,0,7,0,3,0,2
3515,23.0,1,3,3,2,2,1,2,2,0,0,2,4,3,2,1,1,6,9,7,3,1,1,1,1,3038.3,3425.78125,4,6,0,0,10,24,3,4,1,2,1
3538,42.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.2727272727273,1717.076923076923,7,3,0,0,1,5,2,5,2,1,1
3549,26.0,1,3,2,1,1,1,2,0,0,0,6,1,1,6,7,1,8,19,13,9,4,11,3,0,1945.25,1371.5,9,1,0,0,6,0,5,2,3,0,3
3561,21.0,0,3,2,1,0,1,2,0,0,0,0,1,0,1,1,0,7,21,10,4,1,6,0,0,2062.235294117647,1333.2857142857142,6,4,0,0,4,2,5,2,1,2,1
3598,19.0,1,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,4500.0,4500.0,0,0,0,0,9,19,0,0,0,0,1
3661,41.0,1,3,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4500.0,4500.0,0,0,0,0,2,26,0,0,0,0,1
3664,29.0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,2858.3333333333335,4003.4736842105262,10,0,0,0,17,17,6,1,3,0,1
3762,20.0,0,1,1,2,2,1,1,1,0,0,0,1,0,0,1,2,2,1,0,0,0,4,0,0,1685.1176470588234,2249.1428571428573,7,3,0,0,4,2,5,2,2,1,1
3780,23.0,0,2,3,0,1,1,2,0,0,1,11,11,11,18,22,35,13,44,98,67,37,27,6,9,1974.3846153846155,1702.1818181818182,5,5,0,0,4,2,4,3,1,2,2
3790,28.0,1,2,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3165.3333333333335,3335.735294117647,6,4,0,0,11,23,4,3,0,3,1
3843,23.0,1,3,0,0,0,0,1,0,0,0,4,1,0,5,6,0,1,6,4,1,2,3,0,0,1849.625,0.0,10,0,0,0,6,0,7,0,3,0,1
3857,48.0,1,2,1,0,0,0,1,0,0,1,5,1,1,4,5,0,4,26,10,2,2,6,0,0,4500.0,4500.0,0,0,0,0,12,16,0,0,0,0,1
3872,54.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,4500.0,4500.0,0,0,0,0,11,17,0,0,0,0,1
3881,37.0,0,2,1,0,0,1,1,0,0,0,6,1,0,5,6,0,1,10,1,0,0,0,0,0,2899.516129032258,3833.6190476190477,7,3,0,0,19,15,4,3,3,0,1
3883,30.0,1,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0.0,1849.625,0,10,0,0,0,6,0,7,0,3,1
3884,37.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,4500.0,0.0,0,0,0,0,28,0,0,0,0,0,1
3886,42.0,0,1,3,0,0,0,1,0,0,0,0,2,0,5,7,0,4,3,2,2,2,4,0,0,3276.75,0.0,10,0,0,0,34,0,7,0,3,0,1
3891,51.0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1781.952380952381,2323.3333333333335,9,1,0,0,5,1,6,1,3,0,1
3899,22.0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067.875,1413.125,7,3,0,0,4,2,5,2,1,2,1
3914,24.0,1,2,1,0,2,0,1,1,0,0,1,0,0,1,1,1,0,1,1,2,2,0,0,0,3815.764705882353,4261.875,2,0,0,0,15,15,3,1,0,0,1
3925,26.0,1,1,1,0,0,0,0,0,0,0,1,1,1,7,8,2,3,2,1,1,0,1,0,0,1953.0,1126.0,9,1,0,0,3,3,6,1,2,1,1
3931,26.0,0,1,1,1,0,1,0,0,0,0,2,0,3,5,7,1,7,16,13,7,5,6,1,0,3078.878787878788,3620.4210526315787,8,2,0,0,18,16,5,2,2,1,3
3935,24.0,0,2,1,0,0,0,1,0,0,0,2,1,3,0,3,0,3,2,1,0,1,1,0,0,1792.8125,1963.25,5,5,0,0,4,2,3,4,2,1,1
3936,27.0,1,2,1,0,0,1,1,0,0,0,5,1,1,4,2,1,6,5,0,0,0,0,0,0,1849.625,0.0,10,0,0,0,6,0,7,0,3,0,1
3945,24.0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,1,0,0,1,0,0,1406.5714285714287,2032.0588235294117,4,6,0,0,5,1,3,4,1,2,1
3948,24.0,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,4,7,3,1,0,0,0,0,2974.0344827586205,3658.4347826086955,7,3,0,0,17,17,3,4,2,1,1
3958,16.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,7,1,0,0,1,1849.625,0.0,10,0,0,0,6,0,7,0,3,0,1
3959,27.0,0,1,1,0,2,1,1,1,0,0,4,0,0,7,6,0,5,12,6,5,1,6,0,0,2146.4615384615386,1498.8181818181818,6,4,0,0,3,3,6,1,0,3,1
3965,23.0,1,1,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,2,1,0,1,0,0,0.0,1750.0,0,0,0,0,0,1,0,1,0,0,1
3966,20.0,1,1,1,0,0,1,1,0,0,0,5,1,0,2,5,0,5,4,1,0,0,0,0,0,3041.125,3478.714285714286,3,7,0,0,16,18,2,5,1,2,1
3979,47.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864.15,1777.0,8,2,0,0,4,2,6,1,2,1,1
3982,20.0,0,3,3,2,2,1,2,2,0,0,0,1,0,3,4,0,7,13,14,10,4,10,0,2,2040.5625,1467.75,7,3,0,0,1,5,6,1,1,2,3
3988,26.0,1,2,3,0,1,1,1,0,0,0,5,1,4,5,7,0,9,17,12,6,7,9,2,1,1567.0833333333333,2132.1666666666665,7,3,0,0,4,2,4,3,3,0,3
3989,27.0,0,0,1,0,0,1,0,0,0,0,4,1,2,6,6,3,7,11,7,2,6,10,0,0,1798.3181818181818,2414.0,8,2,0,0,5,1,5,2,3,0,3
3991,21.0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,1875.0454545454545,1570.0,9,1,0,0,5,1,7,0,1,2,1
4031,32.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,0,1873.2105263157894,1760.0,9,1,0,0,5,1,6,1,1,2,1
4032,24.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828.75,1860.0625,3,7,0,0,1,5,2,5,0,3,1
4033,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845.5263157894738,1865.2,8,2,0,0,6,0,5,2,3,0,1
4034,16.0,0,3,0,0,0,0,1,1,0,0,6,0,0,5,3,1,6,8,7,3,2,7,0,0,1883.1904761904761,1614.6666666666667,8,2,0,0,5,1,7,0,2,1,1
4035,24.0,0,3,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847.8695652173913,1890.0,9,1,0,0,6,0,7,0,2,1,1
4036,20.0,1,2,1,0,0,1,1,0,0,0,2,0,1,3,4,1,0,1,2,0,1,2,0,0,1915.55,1520.0,9,1,0,0,5,1,6,1,2,1,1
4037,24.0,1,3,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1628.7,2007.4285714285713,5,5,0,0,3,3,1,6,2,1,1
4038,17.0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678.7,1971.7142857142858,3,7,0,0,4,2,2,5,2,1,1
4039,19.0,0,0,1,0,0,1,0,0,0,0,6,2,3,10,9,2,9,24,10,6,6,11,1,0,3172.1071428571427,3398.8333333333335,5,5,0,0,16,18,5,2,0,3,3
4040,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966.5333333333333,1654.7777777777778,7,3,0,0,3,3,4,3,3,0,1
